ID,FORMULAS_WITHOUT_COFACTORS,FORMULAS_ENCODED
rxnTransport2226,5-chloro-5-deoxy-D-ribono-gamma-lactone[e] <=> pi + 5-chloro-5-deoxy-D-ribono-gamma-lactone,C21760 <=> C8 + C11063
rxnTransport2227,"1,6-Anhydro-beta-D-glucose[e] <=> pi + 1,6-Anhydro-beta-D-glucose",C21769 <=> C8 + C11149
rxnTransport2228,"2,3,6-trideoxy-L-threo-hexose[e] <=> pi + 2,3,6-trideoxy-L-threo-hexose",C21776 <=> C8 + C11162
rxnTransport2229,bfru-D[e] <=> pi + bfru-D,C20702 <=> C8 + C1249
rxnTransport2231,"3,6-anhydro-alpha-L-galactopyranose[e] <=> pi + 3,6-anhydro-alpha-L-galactopyranose",C21807 <=> C8 + C11300
rxnTransport2232,acmana[e] <=> pi + acmana,C20445 <=> C8 + C465
rxnTransport2233,alpha-D-Mannose[e] <=> pi + alpha-D-Mannose,C21593 <=> C8 + C8701
rxnTransport2234,4-O-methyl-alpha-D-glucuronate[e] <=> pi + 4-O-methyl-alpha-D-glucuronate,C21840 <=> C8 + C11427
rxnTransport2235,rham-D[e] <=> pi + rham-D,C20641 <=> C8 + C1043
rxnTransport2236,"3-acetamido-3,6-dideoxy-alpha-D-galactopyranose[e] <=> pi + 3-acetamido-3,6-dideoxy-alpha-D-galactopyranose",C21841 <=> C8 + C11442
rxnTransport2237,L-oleandrose[e] <=> pi + L-oleandrose,C21846 <=> C8 + C11469
rxnTransport2238,D-oliose[e] <=> pi + D-oliose,C21849 <=> C8 + C11474
rxnTransport2239,"3-Amino-2,3,6-trideoxy-L-lyxo-hexose[e] <=> pi + 3-Amino-2,3,6-trideoxy-L-lyxo-hexose",C21850 <=> C8 + C11476
rxnTransport2240,alpha-D-fucopyranose[e] <=> pi + alpha-D-fucopyranose,C21851 <=> C8 + C11485
rxnTransport2241,alpha-D-Lyxose[e] <=> pi + alpha-D-Lyxose,C20710 <=> C8 + C1297
rxnTransport2242,acgal[e] <=> pi + acgal,C20559 <=> C8 + C775
rxnTransport2243,L-Glucose[e] <=> pi + L-Glucose,C21886 <=> C8 + C11699
rxnTransport2244,2-Deoxy-D-galactose[e] <=> pi + 2-Deoxy-D-galactose,C20755 <=> C8 + C1544
rxnTransport2245,L-ribose[e] <=> pi + L-ribose,C21899 <=> C8 + C11803
rxnTransport2246,acgal1p[e] <=> pi + acgal1p,C21399 <=> C8 + C6865
rxnTransport2248,Colitose[e] <=> pi + Colitose,C20794 <=> C8 + C1809
rxnTransport2249,Abequose[e] <=> pi + Abequose,C20982 <=> C8 + C3307
rxnTransport2250,tyvelose[e] <=> pi + tyvelose,C22052 <=> C8 + C12470
rxnTransport2252,yersinioseB[e] <=> pi + yersinioseB,C22054 <=> C8 + C12472
rxnTransport2254,"3,6-dideoxy-D-ribo-hexose[e] <=> pi + 3,6-dideoxy-D-ribo-hexose",C22055 <=> C8 + C12473
rxnTransport2255,srb-L[e] <=> pi + srb-L,C20262 <=> C8 + C203
rxnTransport2256,srb-L[e] <=> pi + srb-L,C20262 <=> C8 + C203
rxnTransport2257,beta-L-fucopyranose[e] <=> pi + beta-L-fucopyranose,C22068 <=> C8 + C12692
rxnTransport2258,beta-D-Ribofuranose[e] <=> pi + beta-D-Ribofuranose,C21522 <=> C8 + C7823
rxnTransport2259,cll_346[e] <=> pi + cll_346,C21052 <=> C8 + C3773
rxnTransport2260,beta-L-Rhamnose[e] <=> pi + beta-L-Rhamnose,C20722 <=> C8 + C1354
rxnTransport2261,N-Acetyl-alpha-neuraminate[e] <=> pi + N-Acetyl-alpha-neuraminate,C21648 <=> C8 + C9306
rxnTransport2262,N-Acetyl-beta-neuraminate[e] <=> pi + N-Acetyl-beta-neuraminate,C21649 <=> C8 + C9307
rxnTransport2263,"beta-D-galactopyranoside,1-methylethyl[e] <=> pi + beta-D-galactopyranoside,1-methylethyl",C22079 <=> C8 + C12724
rxnTransport2265,2-aminogalactopyranose[e] <=> pi + 2-aminogalactopyranose,C22081 <=> C8 + C12726
rxnTransport2266,"1,5-anhydro-2-deoxy-D-lyxo-hex-1-enitol[e] <=> pi + 1,5-anhydro-2-deoxy-D-lyxo-hex-1-enitol",C22082 <=> C8 + C12727
rxnTransport2267,6-deoxy-D-sorbose[e] <=> pi + 6-deoxy-D-sorbose,C22095 <=> C8 + C12755
rxnTransport2268,5drib[e] <=> pi + 5drib,C21394 <=> C8 + C6860
rxnTransport2269,beta-D-galactofuranose[e] <=> pi + beta-D-galactofuranose,C22104 <=> C8 + C12783
rxnTransport2270,alpha-D-galactofuranose[e] <=> pi + alpha-D-galactofuranose,C22105 <=> C8 + C12784
rxnTransport2271,L-Gulose[e] <=> pi + L-Gulose,C21311 <=> C8 + C6364
rxnTransport2272,D-Erythrulose[e] <=> pi + D-Erythrulose,C20689 <=> C8 + C1219
rxnTransport2273,rbl-D[e] <=> pi + rbl-D,C20295 <=> C8 + C244
rxnTransport2274,alpha-D-talose[e] <=> pi + alpha-D-talose,C22126 <=> C8 + C13052
rxnTransport2275,xylu-D[e] <=> pi + xylu-D,C20296 <=> C8 + C245
rxnTransport2276,D-Erythrose[e] <=> pi + D-Erythrose,C20655 <=> C8 + C1106
rxnTransport2277,L-Erythrulose[e] <=> pi + L-Erythrulose,C20693 <=> C8 + C1228
rxnTransport2278,D-Chondrosamine[e] <=> pi + D-Chondrosamine,C20718 <=> C8 + C1325
rxnTransport2280,glc-D-B[e] <=> pi + glc-D-B,C20245 <=> C8 + C182
rxnTransport2281,glyald[e] <=> pi + glyald,C20422 <=> C8 + C425
rxnTransport2282,D-Gulose[e] <=> pi + D-Gulose,C20978 <=> C8 + C3302
rxnTransport2283,D-Idose[e] <=> pi + D-Idose,C20979 <=> C8 + C3303
rxnTransport2284,fcl-L[e] <=> pi + fcl-L,C20644 <=> C8 + C1060
rxnTransport2285,beta-L-galactose[e] <=> pi + beta-L-galactose,C22152 <=> C8 + C13493
rxnTransport2286,Lglyald[e] <=> pi + Lglyald,C20729 <=> C8 + C1389
rxnTransport2287,beta-L-lyxopyranose[e] <=> pi + beta-L-lyxopyranose,C22154 <=> C8 + C13497
rxnTransport2288,rbl-L[e] <=> pi + rbl-L,C20395 <=> C8 + C376
rxnTransport2290,xylu-L[e] <=> pi + xylu-L,C20298 <=> C8 + C247
rxnTransport2291,D-Lyxose[e] <=> pi + D-Lyxose,C20379 <=> C8 + C350
rxnTransport2292,acgam1p[e] <=> pi + acgam1p,C20840 <=> C8 + C2195
rxnTransport2293,N-Acetyl-beta-D-glucosamine[e] <=> pi + N-Acetyl-beta-D-glucosamine,C20818 <=> C8 + C2037
rxnTransport2294,N-acetyl-beta-D-mannosamine[e] <=> pi + N-acetyl-beta-D-mannosamine,C22163 <=> C8 + C13676
rxnTransport2295,acmum[e] <=> pi + acmum,C20753 <=> C8 + C1510
rxnTransport2296,D-Psicose[e] <=> pi + D-Psicose,C20980 <=> C8 + C3305
rxnTransport2297,alpha-L-Rhamnose[e] <=> pi + alpha-L-Rhamnose,C20732 <=> C8 + C1408
rxnTransport2298,rml[e] <=> pi + rml,C20496 <=> C8 + C600
rxnTransport2299,Volemulose[e] <=> pi + Volemulose,C20698 <=> C8 + C1239
rxnTransport2300,D-Tagatose[e] <=> pi + D-Tagatose,C20482 <=> C8 + C552
rxnTransport2302,alpha-D-Xylose[e] <=> pi + alpha-D-Xylose,C20711 <=> C8 + C1298
rxnTransport2304,"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine6-sulfate[e] <=> pi + 4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine6-sulfate",C20865 <=> C8 + C2488
rxnTransport2305,allolactose[e] <=> pi + allolactose,C21667 <=> C8 + C10111
rxnTransport2306,alpha-Maltose[e] <=> pi + alpha-Maltose,C20506 <=> C8 + C622
rxnTransport2307,beta-Cellobiose[e] <=> pi + beta-Cellobiose,C20971 <=> C8 + C3279
rxnTransport2308,Cellotriose[e] <=> pi + Cellotriose,C20955 <=> C8 + C3171
rxnTransport2310,"(1,6)-beta-galactobiose[e] <=> pi + (1,6)-beta-galactobiose",C21681 <=> C8 + C10405
rxnTransport2311,trigalacturonate[e] <=> pi + trigalacturonate,C21682 <=> C8 + C10407
rxnTransport2312,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate[e] <=> pi + UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate",C21640 <=> C8 + C9150
rxnTransport2313,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate[e] <=> pi + UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate",C21641 <=> C8 + C9170
rxnTransport2315,alpha-D-Gal-(1->3)-alpha-D-Gal-(1->2)-beta-D-Fru[e] <=> pi + alpha-D-Gal-(1->3)-alpha-D-Gal-(1->2)-beta-D-Fru,C21711 <=> C8 + C10516
rxnTransport2316,Mannosylfructose6-phosphate[e] <=> pi + Mannosylfructose6-phosphate,C21583 <=> C8 + C8653
rxnTransport2317,Mannosylfructose[e] <=> pi + Mannosylfructose,C21585 <=> C8 + C8667
rxnTransport2318,raffin[e] <=> pi + raffin,C20386 <=> C8 + C362
rxnTransport2319,beta-D-Galactosyl-(1->4)-L-rhamnose[e] <=> pi + beta-D-Galactosyl-(1->4)-L-rhamnose,C21642 <=> C8 + C9181
rxnTransport2320,2-(acetylamino)-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-beta-D-glucopyranose[e] <=> pi + 2-(acetylamino)-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-beta-D-glucopyranose,C21746 <=> C8 + C10928
rxnTransport2321,isomal[e] <=> pi + isomal,C20267 <=> C8 + C208
rxnTransport2322,lychnose[e] <=> pi + lychnose,C21753 <=> C8 + C11008
rxnTransport2323,stellariose[e] <=> pi + stellariose,C21754 <=> C8 + C11009
rxnTransport2324,mediose[e] <=> pi + mediose,C21755 <=> C8 + C11010
rxnTransport2325,3-O-alpha-D-Mannopyranosyl-alpha-D-mannopyranose[e] <=> pi + 3-O-alpha-D-Mannopyranosyl-alpha-D-mannopyranose,C21643 <=> C8 + C9195
rxnTransport2326,3-O-(6-O-alpha-D-Xylosylphospho-alpha-D-mannopyranosyl)-alpha-D-mannopyranose[e] <=> pi + 3-O-(6-O-alpha-D-Xylosylphospho-alpha-D-mannopyranosyl)-alpha-D-mannopyranose,C21644 <=> C8 + C9196
rxnTransport2328,2-O-(4-deoxy-beta-L-threo-hex-4-enopyranuronosyl)-alpha-L-rhamnopyranose[e] <=> pi + 2-O-(4-deoxy-beta-L-threo-hex-4-enopyranuronosyl)-alpha-L-rhamnopyranose,C21787 <=> C8 + C11231
rxnTransport2329,avilamycinA[e] <=> pi + avilamycinA,C21788 <=> C8 + C11236
rxnTransport2331,beta-D-Glc-(1->4)-alpha-L-Rha-(1->3)-beta-D-Glc[e] <=> pi + beta-D-Glc-(1->4)-alpha-L-Rha-(1->3)-beta-D-Glc,C21652 <=> C8 + C9337
rxnTransport2332,Cellotetraose[e] <=> pi + Cellotetraose,C20688 <=> C8 + C1215
rxnTransport2333,xylotriose[e] <=> pi + xylotriose,C21790 <=> C8 + C11253
rxnTransport2334,xylotetraose[e] <=> pi + xylotetraose,C21791 <=> C8 + C11254
rxnTransport2336,Cellohexaose[e] <=> pi + Cellohexaose,C20953 <=> C8 + C3169
rxnTransport2337,"(1,3)-beta-xylobiose[e] <=> pi + (1,3)-beta-xylobiose",C21795 <=> C8 + C11269
rxnTransport2338,"(1,3)-beta-xylotriose[e] <=> pi + (1,3)-beta-xylotriose",C21796 <=> C8 + C11270
rxnTransport2339,"(1,3)-beta-xylotetraose[e] <=> pi + (1,3)-beta-xylotetraose",C21797 <=> C8 + C11271
rxnTransport2342,XXXGxyloglucanoligosaccharide[e] <=> pi + XXXGxyloglucanoligosaccharide,C21800 <=> C8 + C11290
rxnTransport2345,XLLGxyloglucanoligosaccharide[e] <=> pi + XLLGxyloglucanoligosaccharide,C21803 <=> C8 + C11293
rxnTransport2346,Turanose[e] <=> pi + Turanose,C21634 <=> C8 + C9093
rxnTransport2347,Melezitose[e] <=> pi + Melezitose,C21039 <=> C8 + C3731
rxnTransport2352,agarotriose[e] <=> pi + agarotriose,C21809 <=> C8 + C11302
rxnTransport2353,"3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-D-galactose[e] <=> pi + 3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-D-galactose",C21810 <=> C8 + C11303
rxnTransport2354,neoagarotetraose[e] <=> pi + neoagarotetraose,C21811 <=> C8 + C11304
rxnTransport2355,neoagarotriose[e] <=> pi + neoagarotriose,C21812 <=> C8 + C11305
rxnTransport2357,neoagaropentaose[e] <=> pi + neoagaropentaose,C21814 <=> C8 + C11307
rxnTransport2358,agarohexaose[e] <=> pi + agarohexaose,C21815 <=> C8 + C11308
rxnTransport2359,agaropentaose[e] <=> pi + agaropentaose,C21816 <=> C8 + C11309
rxnTransport2360,LS6-G[e] <=> pi + LS6-G,C21817 <=> C8 + C11310
rxnTransport2361,neoagarooctaose[e] <=> pi + neoagarooctaose,C21818 <=> C8 + C11315
rxnTransport2362,agaroheptaose[e] <=> pi + agaroheptaose,C21819 <=> C8 + C11316
rxnTransport2363,neo-lambda-carratetraose[e] <=> pi + neo-lambda-carratetraose,C21820 <=> C8 + C11317
rxnTransport2364,neo-lambda-carrahexaose[e] <=> pi + neo-lambda-carrahexaose,C21821 <=> C8 + C11318
rxnTransport2365,neo-lambda-carrabiose[e] <=> pi + neo-lambda-carrabiose,C21822 <=> C8 + C11319
rxnTransport2367,2-amino-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-beta-D-glucopyranose[e] <=> pi + 2-amino-4-O-(2-amino-2-deoxy-beta-D-glucopyranosyl)-2-deoxy-beta-D-glucopyranose,C21827 <=> C8 + C11343
rxnTransport2368,alpha-D-glucopyranosyl-(1->4)-[alpha-D-glucopyranosyl-(1->6)]-D-glucose[e] <=> pi + alpha-D-glucopyranosyl-(1->4)-[alpha-D-glucopyranosyl-(1->6)]-D-glucose,C21828 <=> C8 + C11349
rxnTransport2371,Mannobiose[e] <=> pi + Mannobiose,C20647 <=> C8 + C1066
rxnTransport2372,alpha-Maltose1-phosphate[e] <=> pi + alpha-Maltose1-phosphate,C21654 <=> C8 + C9428
rxnTransport2373,4-O-beta-D-Mannopyranosyl-D-glucopyranose[e] <=> pi + 4-O-beta-D-Mannopyranosyl-D-glucopyranose,C21653 <=> C8 + C9427
rxnTransport2374,3-O-alpha-D-glucopyranosyl-L-rhamnopyranose[e] <=> pi + 3-O-alpha-D-glucopyranosyl-L-rhamnopyranose,C21852 <=> C8 + C11520
rxnTransport2375,stchs[e] <=> pi + stchs,C20634 <=> C8 + C1023
rxnTransport2376,D-Glucosyl-D-mannose[e] <=> pi + D-Glucosyl-D-mannose,C20766 <=> C8 + C1626
rxnTransport2377,Lactulose[e] <=> pi + Lactulose,C21021 <=> C8 + C3562
rxnTransport2379,3-O-b-D-galactopyranosyl-D-arabinose[e] <=> pi + 3-O-b-D-galactopyranosyl-D-arabinose,C21892 <=> C8 + C11707
rxnTransport2381,Sucralose[e] <=> pi + Sucralose,C21111 <=> C8 + C4630
rxnTransport2382,1-O-beta-D-glucopyranosyl-D-mannitol[e] <=> pi + 1-O-beta-D-glucopyranosyl-D-mannitol,C21900 <=> C8 + C11804
rxnTransport2384,O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->2)-4-O-methyl-chiro-inositol[e] <=> pi + O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->2)-4-O-methyl-chiro-inositol,C21904 <=> C8 + C12022
rxnTransport2385,Verbascose[e] <=> pi + Verbascose,C21040 <=> C8 + C3734
rxnTransport2386,Ajugose[e] <=> pi + Ajugose,C21037 <=> C8 + C3729
rxnTransport2387,Manninotriose[e] <=> pi + Manninotriose,C20902 <=> C8 + C2687
rxnTransport2388,O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->2)-1D-chiro-inositol[e] <=> pi + O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->2)-1D-chiro-inositol,C21926 <=> C8 + C12097
rxnTransport2390,O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->3)-1D-chiro-inositol[e] <=> pi + O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->3)-1D-chiro-inositol,C21928 <=> C8 + C12099
rxnTransport2391,O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->3)-1D-chiro-inositol[e] <=> pi + O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->6)-O-alpha-D-galactopyranosyl-(1->3)-1D-chiro-inositol,C21929 <=> C8 + C12101
rxnTransport2392,agarotetraose[e] <=> pi + agarotetraose,C22044 <=> C8 + C12376
rxnTransport2393,beta-D-apiofuranosyl-(1->6)-D-glucose[e] <=> pi + beta-D-apiofuranosyl-(1->6)-D-glucose,C22045 <=> C8 + C12394
rxnTransport2394,"alpha-D-Galp2,6S2-(1->3)-beta-D-Galp2S-(1->4)-alpha-D-Galp2,6S2-(1->3)-D-Galp2S[e] <=> pi + alpha-D-Galp2,6S2-(1->3)-beta-D-Galp2S-(1->4)-alpha-D-Galp2,6S2-(1->3)-D-Galp2S",C22056 <=> C8 + C12480
rxnTransport2395,tetraacyldisaccharide-4-phosphate[e] <=> pi + tetraacyldisaccharide-4-phosphate,C22078 <=> C8 + C12722
rxnTransport2396,cll_396[e] <=> pi + cll_396,C20684 <=> C8 + C1196
rxnTransport2397,melib[e] <=> pi + melib,C20901 <=> C8 + C2685
rxnTransport2398,sucr[e] <=> pi + sucr,C20148 <=> C8 + C73
rxnTransport2400,L-hydroxyarginine[e] <=> pi + L-hydroxyarginine,C21826 <=> C8 + C11330
rxnTransport2401,D-Asparagine[e] <=> pi + D-Asparagine,C20673 <=> C8 + C1165
rxnTransport2402,tyr-L[e] <=> pi + tyr-L,C20141 <=> C8 + C66
rxnTransport2404,D-Valine[e] <=> pi + D-Valine,C20969 <=> C8 + C3275
rxnTransport2405,4-fluoro-L-tryptophan[e] <=> pi + 4-fluoro-L-tryptophan,C22109 <=> C8 + C12791
rxnTransport2406,L-selenocysteine[e] <=> pi + L-selenocysteine,C22156 <=> C8 + C13502
rxnTransport2407,phe-L[e] <=> pi + phe-L,C20138 <=> C8 + C63
rxnTransport2408,trp-L[e] <=> pi + trp-L,C20137 <=> C8 + C62
rxnTransport2411,Carnosine[e] <=> pi + Carnosine,C20337 <=> C8 + C293
rxnTransport2412,GramicidinS[e] <=> pi + GramicidinS,C21072 <=> C8 + C4226
rxnTransport2413,Nodularin[e] <=> pi + Nodularin,C21173 <=> C8 + C5175
rxnTransport2418,NostocyclopeptideA1[e] <=> pi + NostocyclopeptideA1,C21174 <=> C8 + C5177
rxnTransport2419,NostocyclopeptideA2[e] <=> pi + NostocyclopeptideA2,C21175 <=> C8 + C5178
rxnTransport2420,NostocyclopeptideA3[e] <=> pi + NostocyclopeptideA3,C21176 <=> C8 + C5179
rxnTransport2421,Barbamide[e] <=> pi + Barbamide,C21170 <=> C8 + C5170
rxnTransport2422,CuracinA[e] <=> pi + CuracinA,C21088 <=> C8 + C4379
rxnTransport2423,curacinB[e] <=> pi + curacinB,C21687 <=> C8 + C10422
rxnTransport2426,microginin690[e] <=> pi + microginin690,C21690 <=> C8 + C10425
rxnTransport2434,motuporin[e] <=> pi + motuporin,C21691 <=> C8 + C10426
rxnTransport2439,obyanamide[e] <=> pi + obyanamide,C21696 <=> C8 + C10431
rxnTransport2440,nostocyclamide[e] <=> pi + nostocyclamide,C21697 <=> C8 + C10432
rxnTransport2441,nostocyclamideM[e] <=> pi + nostocyclamideM,C21698 <=> C8 + C10433
rxnTransport2447,Westiellamide[e] <=> pi + Westiellamide,C21177 <=> C8 + C5181
rxnTransport2448,symplostatin1[e] <=> pi + symplostatin1,C21704 <=> C8 + C10439
rxnTransport2451,GramicidinA[e] <=> pi + GramicidinA,C21309 <=> C8 + C6325
rxnTransport2452,gramicidinB[e] <=> pi + gramicidinB,C21707 <=> C8 + C10443
rxnTransport2453,gramicidinC[e] <=> pi + gramicidinC,C21708 <=> C8 + C10444
rxnTransport2458,Homocarnosine[e] <=> pi + Homocarnosine,C20503 <=> C8 + C615
rxnTransport2459,L-balenine[e] <=> pi + L-balenine,C21744 <=> C8 + C10891
rxnTransport2460,D-Alanyl-(R)-lactate[e] <=> pi + D-Alanyl-(R)-lactate,C21637 <=> C8 + C9121
rxnTransport2461,D-Alanyl-D-serine[e] <=> pi + D-Alanyl-D-serine,C21639 <=> C8 + C9144
rxnTransport2463,L-sergly[e] <=> pi + L-sergly,C21475 <=> C8 + C7068
rxnTransport2465,Glu-Glu[e] <=> pi + Glu-Glu,C20604 <=> C8 + C936
rxnTransport2466,beta-homovaline-beta-homoalanine-beta-homoleucine[e] <=> pi + beta-homovaline-beta-homoalanine-beta-homoleucine,C21793 <=> C8 + C11266
rxnTransport2470,L-met-L-ala[e] <=> pi + L-met-L-ala,C22238 <=> C8 + C15255
rxnTransport2473,Thiostrepton[e] <=> pi + Thiostrepton,C21105 <=> C8 + C4567
rxnTransport2474,Kyotorphin[e] <=> pi + Kyotorphin,C20770 <=> C8 + C1640
rxnTransport2475,gamma-L-Glutamyl-L-cysteinyl-beta-alanine[e] <=> pi + gamma-L-Glutamyl-L-cysteinyl-beta-alanine,C20850 <=> C8 + C2321
rxnTransport2477,Anserine[e] <=> pi + Anserine,C20585 <=> C8 + C865
rxnTransport2478,L-Ala-gamma-D-Glu-DAP-D-Ala[e] <=> pi + L-Ala-gamma-D-Glu-DAP-D-Ala,C22067 <=> C8 + C12684
rxnTransport2479,LalaLglu[e] <=> pi + LalaLglu,C21398 <=> C8 + C6864
rxnTransport2482,glygly[e] <=> pi + glygly,C20691 <=> C8 + C1225
rxnTransport2483,L-Ala-D-Glu-meso-A2pm[e] <=> pi + L-Ala-D-Glu-meso-A2pm,C22150 <=> C8 + C13485
rxnTransport2484,Leucyl-leucine[e] <=> pi + Leucyl-leucine,C21076 <=> C8 + C4241
rxnTransport2485,Viomycin[e] <=> pi + Viomycin,C20625 <=> C8 + C987
rxnTransport2488,diasprm[e] <=> pi + diasprm,C20798 <=> C8 + C1834
rxnTransport2489,Thermospermine[e] <=> pi + Thermospermine,C21635 <=> C8 + C9096
rxnTransport2490,N1-aminopropylagmatine[e] <=> pi + N1-aminopropylagmatine,C21823 <=> C8 + C11325
rxnTransport2491,"N-(3-aminopropyl)-N'-(3-((3-aminopropyl)amino)propyl)-1,3-propanediamine[e] <=> pi + N-(3-aminopropyl)-N'-(3-((3-aminopropyl)amino)propyl)-1,3-propanediamine",C21824 <=> C8 + C11326
rxnTransport2496,Dicopac[e] <=> pi + Dicopac,C20758 <=> C8 + C1567
rxnTransport2497,Methylcobalamin[e] <=> pi + Methylcobalamin,C21292 <=> C8 + C6175
rxnTransport2498,hydroxycobalamin[e] <=> pi + hydroxycobalamin,C22076 <=> C8 + C12719
rxnTransport2500,gua[e] <=> pi + gua,C20257 <=> C8 + C198
rxnTransport2504,Glcp-alpha-octyl <=> pi + Glcp-alpha-octyl[e],C12675 <=> C8 + C22060
rxnTransport2505,"Galf-beta-1,6-Glcp-alpha-octyl <=> pi + Galf-beta-1,6-Glcp-alpha-octyl[e]",C12676 <=> C8 + C22061
rxnTransport2506,Manp-alpha-octyl <=> pi + Manp-alpha-octyl[e],C12677 <=> C8 + C22062
rxnTransport2507,Galp-alpha-octyl <=> pi + Galp-alpha-octyl[e],C12678 <=> C8 + C22063
rxnTransport2508,GlcNAcp-alpha-octyl <=> pi + GlcNAcp-alpha-octyl[e],C12679 <=> C8 + C22064
rxnTransport2511,prenyl-P-P-GlcNAc-ManNAc-P-Gro <=> pi + prenyl-P-P-GlcNAc-ManNAc-P-Gro[e],C11799 <=> C8 + C21898
rxnTransport2512,Beta-D-Glucans <=> pi + Beta-D-Glucans[e],C10272 <=> C8 + C21676
rxnTransport2513,beta-Cellobiose <=> pi + beta-Cellobiose[e],C3279 <=> C8 + C20971
rxnTransport2514,Cellotriose <=> pi + Cellotriose[e],C3171 <=> C8 + C20955
rxnTransport2515,Cellotetraose <=> pi + Cellotetraose[e],C1215 <=> C8 + C20688
rxnTransport2517,Cellohexaose <=> pi + Cellohexaose[e],C3169 <=> C8 + C20953
rxnTransport2520,6ampenc <=> pi + 6ampenc[e],C1622 <=> C8 + C20765
rxnTransport2521,CephalosporinC <=> pi + CephalosporinC[e],C635 <=> C8 + C20511
rxnTransport2522,terpentecin <=> pi + terpentecin[e],C10357 <=> C8 + C21679
rxnTransport2523,Rifamycin <=> pi + Rifamycin[e],C4565 <=> C8 + C21104
rxnTransport2524,GramicidinS <=> pi + GramicidinS[e],C4226 <=> C8 + C21072
rxnTransport2526,ConcanamycinA <=> pi + ConcanamycinA[e],C5189 <=> C8 + C21185
rxnTransport2528,Vancomycin <=> pi + Vancomycin[e],C3468 <=> C8 + C21000
rxnTransport2529,Teicoplanin <=> pi + Teicoplanin[e],C6324 <=> C8 + C21308
rxnTransport2530,Ceftriaxone <=> pi + Ceftriaxone[e],C3465 <=> C8 + C20998
rxnTransport2532,enterocin <=> pi + enterocin[e],C10946 <=> C8 + C21748
rxnTransport2533,streptothricinFacid <=> pi + streptothricinFacid[e],C9207 <=> C8 + C21646
rxnTransport2534,streptothricinD <=> pi + streptothricinD[e],C11082 <=> C8 + C21761
rxnTransport2535,streptothricinDacid <=> pi + streptothricinDacid[e],C11083 <=> C8 + C21762
rxnTransport2536,Ciprofloxacin <=> pi + Ciprofloxacin[e],C2667 <=> C8 + C20899
rxnTransport2537,JadomycinB <=> pi + JadomycinB[e],C4681 <=> C8 + C21122
rxnTransport2538,JadomycinA <=> pi + JadomycinA[e],C8978 <=> C8 + C21623
rxnTransport2541,oviedomycin <=> pi + oviedomycin[e],C11157 <=> C8 + C21772
rxnTransport2543,PD116740 <=> pi + PD116740[e],C4687 <=> C8 + C21123
rxnTransport2544,UWM6 <=> pi + UWM6[e],C8976 <=> C8 + C21621
rxnTransport2545,"2,3-Dehydro-UWM6 <=> pi + 2,3-Dehydro-UWM6[e]",C8977 <=> C8 + C21622
rxnTransport2546,"8-methyltetraphene-1,5,6,11,12-pentol <=> pi + 8-methyltetraphene-1,5,6,11,12-pentol[e]",C11158 <=> C8 + C21773
rxnTransport2547,Dehydrorabelomycin <=> pi + Dehydrorabelomycin[e],C4676 <=> C8 + C21120
rxnTransport2548,Rabelomycin <=> pi + Rabelomycin[e],C4688 <=> C8 + C21124
rxnTransport2550,"3-(2-formyl-6-hydroxy-4-methylphenyl)-8-hydroxy-1,4-dioxonaphthalene-2-carboxylate <=> pi + 3-(2-formyl-6-hydroxy-4-methylphenyl)-8-hydroxy-1,4-dioxonaphthalene-2-carboxylate[e]",C11161 <=> C8 + C21775
rxnTransport2551,AclacinomycinA <=> pi + AclacinomycinA[e],C8969 <=> C8 + C21620
rxnTransport2552,AvermectinB1a <=> pi + AvermectinB1a[e],C4538 <=> C8 + C21092
rxnTransport2553,AvermectinB1b <=> pi + AvermectinB1b[e],C4522 <=> C8 + C21091
rxnTransport2554,MegalomicinA <=> pi + MegalomicinA[e],C4540 <=> C8 + C21093
rxnTransport2555,megalomicinC <=> pi + megalomicinC[e],C11163 <=> C8 + C21777
